sku,title,category,unit_price,w_in,d_in,h_in,fabric,colour,image,buy_link,availability,details
NS-100,Auburn Performance Fabric Armless Curve 3 Seater Sofa,3 Seater Sofas,2697.00,126.0,54.9,30.1,boucle,chalk,"https://res.cloudinary.com/castlery/image/private/c_fit,f_auto,q_auto,w_1000/v1683795490/crusader/variants/T50441136-CB4001/Auburn-Performance-Boucle-Armless-Curve-3-Seater-Sofa-Chalk-Front-1683795488.png",https://www.castlery.com/sg/products/auburn-performance-boucle-armless-curve-3-seater-sofa,in stock,"With tightback armrests and a gently-curved silhouette, Auburn is a modular piece that del"
NS-101,Peri Coffee Table,Coffee Tables,519.00,47.2,27.6,11.8,walnut,brown,"https://res.cloudinary.com/castlery/image/private/c_fit,f_auto,q_auto,w_1000/v1641292754/crusader/variants/50850023/Peri-Coffee-Table-Front.png",https://www.castlery.com/sg/products/peri-coffee-table,in stock,Peri's rounded yet rectangular form harks back to mid-century aesthetics while its walnut
NS-102,Cedric Floor Lamp with Table,Floor Lamps,199.00,12.2,17.3,67.2,brass,gold,"https://res.cloudinary.com/castlery/image/upload/c_fit,f_auto,q_auto,w_1000/v1786435572/pim/converting/1786435569093/Cedric-Floor-Lamp-With-Table-Side_1.png",https://www.castlery.com/sg/products/cedric-floor-lamp-with-table,in stock,"Cedric combines a soft glow with a built-in table, keeping everything you need to unwind r"
NS-103,Xander Performance Swivel Armchair,Accent Armchairs,579.00,38.8,35.8,27.2,performance fabric,oyster,"https://res.cloudinary.com/castlery/image/private/c_fit,f_auto,q_auto,w_1000/v1715581392/crusader/variants/PB-001463-LE4016/Xander-Swivel-Armchair-Performance-Vermont-Oyster-Front-1715581390.png",https://www.castlery.com/sg/products/xander-performance-swivel-armchair,in stock,Xander sports a chunky silhouette that sits atop a sleek metal base with a 360° swivel. An
NS-104,Bardez Area Rug,Area Rugs,809.00,60.2,96.1,0.6,wool,ivory,"https://res.cloudinary.com/castlery/image/private/c_fit,f_auto,q_auto,w_1000/v1740456897/crusader/variants/44230058/Bardez-Area-Rug-153x244cm-Front_1-1740456895.png",https://www.castlery.com/sg/products/bardez-area-rug,in stock,An artful blend of tradition and texture. Bardez is hand-knotted with intricate patterns t
